likes,shares,comments,url,title,title_type
258,19,8,https://www.repubblica.it/cronaca/2024/12/16/news/padova_aggredisce_i_poliziotti_a_colpi_d_ascia_arrestato-423889285/,Cronaca,neutro
298,13,3,https://www.repubblica.it/spettacoli/tv-radio/2023/03/15/news/ermal_meta_le_iene_monologo_immigrazione_strage_cutro-392237753/,"Ermal Meta, dopo l'orrore di Cutro racconta alle 'Iene' la sua storia di immigrazione",neutro
298,18,28,https://www.repubblica.it/spettacoli/tv-radio/2024/04/05/news/serie_tv_il_clandestino_edoardo_leo_rai_1-422431097/,"‘Il clandestino’, Edoardo Leo diventa investigatore: “Così indago nella Milano multietnica”",neutro
